スレ数,ID,コメント,投稿時刻
0,ID:oTwKcGOO0,!extend:checked:vvvvvv:  !extend:checked:vvvvvv:  ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。コミックス1～7巻発売中。  更新前日はネタバレが発生するので見たくない人は退避推奨。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  「アビス」の不可思議に満ちた姿は人々を魅了し、冒険へと駆り立てた。  そうして幾度も大穴に挑戦する冒険者たちは、次第に『探窟家』と呼ばれるようになっていった。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter  http://twitter.com/tukushia  ◆作者HP 「風のサナギ」  http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界152層  https://fate.5ch.net/test/read.cgi/comic/1540817788/  ※オイコラ規制回避(カッコ内の文を毎回変更することで回避してくだまああ) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account),2018/11/09 21:08:59
1,ID:oTwKcGOO0,◆アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg,2018/11/09 21:10:49
2,ID:oTwKcGOO0,◆質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう。   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ,2018/11/09 21:12:00
3,ID:oTwKcGOO0,◆悠遠語考察  ハディマエ:ああ、おっと、感嘆符も表している  インデブ:嘘のようだけど本当(6割)、感動(4割)  ハニいすく・ハニースク:寝床とヒトの食事 、おやど  ジャコぷふ:頼む(4割)、特別(3割)、刺激(3割)  イルぶる:村(5割)、揺りかご(4割)、母(1割)  コンぼす:了解  マェン:甘めの肯定(そうだよ、程度？)  ンガム:甘めの否定(違うよ、程度？)  イェンメェ:ありがとう(8割)  リェゾーチ:ごめんなさい  ミミウ:ちょっと失礼  ファモ:またね  ラホッス:してほしい、おねがい  サンサイカ:行きたい  ケフケフェリ？:どのくらいの価値？  ｼｭｶｴｲｷﾞｨﾂｺﾞｯｼｭｿｽ:私を買うと破産します  ｺﾌﾞﾁｬｯｷｭｳｼﾞﾝｼｰﾂﾌｧｯﾌ:君はロボとふわふわを知っているか？  ﾗﾎｯﾁｭｿｽｼﾞﾝｼｰﾂﾌｧｯﾌ:ロボおよびふわふわを求めています  んガンガ:いやその  までぃも:わかんない  めんメェ:おいで  ハグン:けむり  ハク:たからもの  ブルーそう:こんにちは  クグふぁもホンでいっそす:こどもはかわいいですね  ファッツェンぶれェ:いくぜ皆のもの  インデまぇン:もちろんだよ  ウィーゴリィイー:押さえつけて  サゾンファッツ:鉄線隊  メポポホン:居眠りさん  クベキャサス:焼いた材料(クベク)すする(ヤッサス),2018/11/09 21:13:04
4,ID:aK9f9KoAr,今答えがみつかるなら  全部なくしてもいお,2018/11/09 21:13:43
5,ID:oTwKcGOO0,テンプレこれだけでいいのけ？,2018/11/09 21:16:15
6,ID:r4x7DqOW0,撫でちゃえるくらい、>>1乙だぜ,2018/11/09 21:19:42
7,ID:o8RWM33m0,おつおつ、おつおつおつおつ,2018/11/09 21:33:53
8,ID:KKVtXmHW0,おつそす,2018/11/09 21:37:19
9,ID:XnjRFtOha,乙？乙？うふふぅ,2018/11/09 21:39:26
10,ID:d5TuHvW0p,おめでとう>>1、ついに成し遂げたのですね,2018/11/09 21:44:16
11,ID:N2wA4yuq0,んなぁ！IPでてんじゃん！,2018/11/09 22:12:13
12,ID:o8RWM33m0,レグのおちんちん,2018/11/09 22:20:02
13,ID:XnjRFtOha,ナナチの複乳ケモぱい,2018/11/09 22:20:58
14,ID:wGOfNyoy0,>>1  乙ットバス,2018/11/09 22:27:50
15,ID:0Ok+Tqzq0,さぁ次の性癖を開拓する準備は整いました  https://i.imgur.com/R753riG.jpg  https://i.imgur.com/5wUugbs.jpg,2018/11/09 23:28:01
16,ID:XnjRFtOha,これはボ卿のふりした自演そす子,2018/11/09 23:30:00
17,ID:jdBhMKCya,ボ卿でも祝福受けた姿がまああさんだったら落胆しそう,2018/11/09 23:39:49
18,ID:o8RWM33m0,ファプタ如きじゃあナナチへの憧れは止められないんだよなぁ,2018/11/09 23:40:22
19,ID:KKVtXmHW0,早くナナチキメたい,2018/11/09 23:44:58
20,ID:XnjRFtOha,ナナチならべラフが毎日キメまくってるよ  それともミーティと違って吸ったら無くなるから見て愛でるだけか？,2018/11/09 23:47:22
21,ID:jo9bSMr70,ファプタの腕持っていったら真っ最中でレグが泣きながらドシガタするよ,2018/11/10 0:16:44
22,ID:dRVI3bz+p,ファプタの腕持ちレグ  レグの腕持ちリコ,2018/11/10 0:19:21
23,ID:3dJo9zfBa,今まで気づかなかったけどちゃんと常にレグの腕持ってたんだな  https://i.imgur.com/W4YRS48.jpg,2018/11/10 0:28:15
24,ID:rcjX8N/od,ファプタがリコの持ってる腕見付けて勘違いする展開,2018/11/10 0:32:51
25,ID:oKyiddTq0,レグ腕はちゃんと感覚はあるそうなのでいつでもリコのお尻に触れるんだよね  触ってるようにしか見えないコマがあったと思う,2018/11/10 0:37:27
26,ID:dRVI3bz+p,住民根絶やし派のファプタと住民と仲良くなっちゃったリコを否が応でも対立させるにはリコさんが持つレグ腕を見られるのが手っ取り早いしね,2018/11/10 0:38:24
